,Saison,buts_marques_dom,buts_marques_ext,buts_marques_total,buts_concedes_dom,buts_concedes_ext,buts_concedes_total,tirs_dom,tirs_ext,tirs_total,tirs_cadres_dom,tirs_cadres_ext,tirs_cadres_total,fautes_causees_dom,fautes_causees_ext,fautes_causees_total,fautes_subies_dom,fautes_subies_ext,fautes_subies_total,cartons_jaunes_neg_dom,cartons_jaunes_neg_ext,cartons_jaunes_neg_total,cartons_rouges_neg_dom,cartons_rouges_neg_ext,cartons_rouges_neg_total,cartons_jaunes_pos_dom,cartons_jaunes_pos_ext,cartons_jaunes_pos_total,cartons_rouges_pos_dom,cartons_rouges_pos_ext,cartons_rouges_pos_total,victoires,nuls,defaites
0,2010-2011,33,23,56,20,21,41,266.0,294.0,560.0,90.0,114.0,204.0,284.0,278.0,562.0,296.0,284.0,580.0,29.0,31.0,60.0,2.0,2.0,4.0,34.0,24.0,58.0,2.0,2.0,4.0,15,15,8
1,2011-2012,42,33,75,16,25,41,283.0,251.0,534.0,100.0,98.0,198.0,288.0,295.0,583.0,313.0,282.0,595.0,32.0,45.0,77.0,2.0,2.0,4.0,43.0,34.0,77.0,2.0,0.0,2.0,23,10,5
2,2012-2013,34,35,69,10,13,23,285.0,216.0,501.0,101.0,96.0,197.0,227.0,240.0,467.0,231.0,249.0,480.0,34.0,37.0,71.0,3.0,6.0,9.0,30.0,29.0,59.0,4.0,4.0,8.0,25,8,5
3,2013-2014,51,33,84,7,16,23,352.0,241.0,593.0,126.0,108.0,234.0,212.0,238.0,450.0,238.0,272.0,510.0,24.0,37.0,61.0,0.0,1.0,1.0,35.0,29.0,64.0,1.0,3.0,4.0,27,8,3
4,2014-2015,52,31,83,14,22,36,246.0,234.0,480.0,115.0,106.0,221.0,209.0,231.0,440.0,271.0,291.0,562.0,27.0,36.0,63.0,1.0,2.0,3.0,34.0,32.0,66.0,3.0,3.0,6.0,24,11,3
5,2015-2016,59,43,102,12,7,19,325.0,239.0,564.0,146.0,104.0,250.0,190.0,205.0,395.0,203.0,242.0,445.0,20.0,25.0,45.0,0.0,1.0,1.0,24.0,29.0,53.0,1.0,2.0,3.0,30,6,2
6,2016-2017,42,41,83,7,20,27,328.0,255.0,583.0,116.0,106.0,222.0,195.0,208.0,403.0,184.0,230.0,414.0,19.0,31.0,50.0,0.0,3.0,3.0,32.0,24.0,56.0,0.0,0.0,0.0,27,6,5
7,2017-2018,70,38,108,15,14,29,308.0,320.0,628.0,141.0,114.0,255.0,214.0,211.0,425.0,257.0,251.0,508.0,26.0,41.0,67.0,2.0,4.0,6.0,37.0,42.0,79.0,0.0,3.0,3.0,29,6,3
8,2018-2019,63,42,105,10,25,35,300.0,261.0,561.0,122.0,106.0,228.0,223.0,247.0,470.0,205.0,255.0,460.0,27.0,37.0,64.0,1.0,3.0,4.0,25.0,31.0,56.0,2.0,3.0,5.0,29,4,5
9,2019-2020,44,31,75,11,13,24,225.0,221.0,446.0,101.0,94.0,195.0,162.0,170.0,332.0,153.0,158.0,311.0,24.0,29.0,53.0,1.0,0.0,1.0,21.0,26.0,47.0,2.0,4.0,6.0,22,2,3
10,2020-2021,44,42,86,14,14,28,320.0,250.0,570.0,124.0,92.0,216.0,245.0,218.0,463.0,226.0,222.0,448.0,43.0,36.0,79.0,5.0,2.0,7.0,29.0,30.0,59.0,7.0,2.0,9.0,26,4,8
11,2021-2022,49,41,90,12,24,36,300.0,263.0,563.0,112.0,106.0,218.0,177.0,178.0,355.0,233.0,208.0,441.0,36.0,45.0,81.0,1.0,3.0,4.0,38.0,37.0,75.0,3.0,2.0,5.0,26,8,4
12,2022-2023,45,44,89,25,15,40,288.0,280.0,568.0,130.0,124.0,254.0,192.0,185.0,377.0,236.0,206.0,442.0,34.0,23.0,57.0,4.0,1.0,5.0,32.0,18.0,50.0,3.0,1.0,4.0,27,4,7
13,2023-2024,42,39,81,22,11,33,267.0,246.0,513.0,96.0,103.0,199.0,169.0,184.0,353.0,197.0,176.0,373.0,23.0,28.0,51.0,1.0,2.0,3.0,30.0,20.0,50.0,0.0,2.0,2.0,22,10,2
14,2024-2025,45,47,92,16,19,35,347.0,280.0,627.0,146.0,136.0,282.0,143.0,155.0,298.0,196.0,157.0,353.0,19.0,18.0,37.0,0.0,0.0,0.0,33.0,28.0,61.0,1.0,1.0,2.0,26,6,2
